H,f1,f2,f3
9,0.037037037,0.481481481,0.481481481
9,0.037037037,0.592592593,0.37037037
9,0.037037037,0.703703704,0.259259259
9,0.037037037,0.814814815,0.148148148
9,0.037037037,0.925925926,0.037037037
9,0.148148148,0.037037037,0.814814815
9,0.148148148,0.814814815,0.037037037
9,0.259259259,0.037037037,0.703703704
9,0.259259259,0.703703704,0.037037037
9,0.37037037,0.037037037,0.592592593
9,0.37037037,0.592592593,0.037037037
9,0.481481481,0.037037037,0.481481481
9,0.481481481,0.481481481,0.037037037
9,0.592592593,0.037037037,0.37037037
9,0.592592593,0.37037037,0.037037037
9,0.703703704,0.037037037,0.259259259
9,0.703703704,0.259259259,0.037037037
9,0.814814815,0.037037037,0.148148148
9,0.814814815,0.148148148,0.037037037
9,0.925925926,0.037037037,0.037037037
9,0,0,1
9,0,0.111111111,0.888888889
9,0,0.222222222,0.777777778
9,0,0.333333333,0.666666667
9,0,0.444444444,0.555555556
9,0,0.555555556,0.444444444
9,0,0.666666667,0.333333333
9,0,0.777777778,0.222222222
9,0,0.888888889,0.111111111
9,0,1,0
9,0.111111111,0,0.888888889
9,0.111111111,0.888888889,0
9,0.222222222,0,0.777777778
9,0.222222222,0.777777778,0
9,0.333333333,0,0.666666667
9,0.333333333,0.666666667,0
9,0.444444444,0,0.555555556
9,0.444444444,0.555555556,0
9,0.555555556,0,0.444444444
9,0.555555556,0.444444444,0
9,0.666666667,0,0.333333333
9,0.666666667,0.333333333,0
9,0.777777778,0,0.222222222
9,0.777777778,0.222222222,0
9,0.888888889,0,0.111111111
9,0.888888889,0.111111111,0
9,1,0,0
10,0.333333333,0.333333333,0.333333333
10,0.3,0.3,0.4
10,0.3,0.4,0.3
10,0.4,0.3,0.3
10,0.266666667,0.266666667,0.466666667
10,0.266666667,0.366666667,0.366666667
10,0.266666667,0.466666667,0.266666667
10,0.366666667,0.266666667,0.366666667
10,0.366666667,0.366666667,0.266666667
10,0.466666667,0.266666667,0.266666667
10,0.233333333,0.233333333,0.533333333
10,0.233333333,0.333333333,0.433333333
10,0.233333333,0.433333333,0.333333333
10,0.233333333,0.533333333,0.233333333
10,0.333333333,0.233333333,0.433333333
10,0.333333333,0.433333333,0.233333333
10,0.433333333,0.233333333,0.333333333
10,0.433333333,0.333333333,0.233333333
10,0.533333333,0.233333333,0.233333333
10,0.2,0.2,0.6
10,0.2,0.3,0.5
10,0.2,0.4,0.4
10,0.2,0.5,0.3
10,0.2,0.6,0.2
10,0.3,0.2,0.5
10,0.3,0.5,0.2
10,0.4,0.2,0.4
10,0.4,0.4,0.2
10,0.5,0.2,0.3
10,0.5,0.3,0.2
10,0.6,0.2,0.2
10,0.166666667,0.166666667,0.666666667
10,0.166666667,0.266666667,0.566666667
10,0.166666667,0.366666667,0.466666667
10,0.166666667,0.466666667,0.366666667
10,0.166666667,0.566666667,0.266666667
10,0.166666667,0.666666667,0.166666667
10,0.266666667,0.166666667,0.566666667
10,0.266666667,0.566666667,0.166666667
10,0.366666667,0.166666667,0.466666667
10,0.366666667,0.466666667,0.166666667
10,0.466666667,0.166666667,0.366666667
10,0.466666667,0.366666667,0.166666667
10,0.566666667,0.166666667,0.266666667
10,0.566666667,0.266666667,0.166666667
10,0.666666667,0.166666667,0.166666667
10,0.133333333,0.133333333,0.733333333
10,0.133333333,0.233333333,0.633333333
10,0.133333333,0.333333333,0.533333333
10,0.133333333,0.433333333,0.433333333
10,0.133333333,0.533333333,0.333333333
10,0.133333333,0.633333333,0.233333333
10,0.133333333,0.733333333,0.133333333
10,0.233333333,0.133333333,0.633333333
10,0.233333333,0.633333333,0.133333333
10,0.333333333,0.133333333,0.533333333
10,0.333333333,0.533333333,0.133333333
10,0.433333333,0.133333333,0.433333333
10,0.433333333,0.433333333,0.133333333
10,0.533333333,0.133333333,0.333333333
10,0.533333333,0.333333333,0.133333333
10,0.633333333,0.133333333,0.233333333
10,0.633333333,0.233333333,0.133333333
10,0.733333333,0.133333333,0.133333333
10,0.1,0.1,0.8
10,0.1,0.2,0.7
10,0.1,0.3,0.6
10,0.1,0.4,0.5
10,0.1,0.5,0.4
10,0.1,0.6,0.3
10,0.1,0.7,0.2
10,0.1,0.8,0.1
10,0.2,0.1,0.7
10,0.2,0.7,0.1
10,0.3,0.1,0.6
10,0.3,0.6,0.1
10,0.4,0.1,0.5
10,0.4,0.5,0.1
10,0.5,0.1,0.4
10,0.5,0.4,0.1
10,0.6,0.1,0.3
10,0.6,0.3,0.1
10,0.7,0.1,0.2
10,0.7,0.2,0.1
10,0.8,0.1,0.1
10,0.066666667,0.066666667,0.866666667
10,0.066666667,0.166666667,0.766666667
10,0.066666667,0.266666667,0.666666667
10,0.066666667,0.366666667,0.566666667
10,0.066666667,0.466666667,0.466666667
10,0.066666667,0.566666667,0.366666667
10,0.066666667,0.666666667,0.266666667
10,0.066666667,0.766666667,0.166666667
10,0.066666667,0.866666667,0.066666667
10,0.166666667,0.066666667,0.766666667
10,0.166666667,0.766666667,0.066666667
10,0.266666667,0.066666667,0.666666667
10,0.266666667,0.666666667,0.066666667
10,0.366666667,0.066666667,0.566666667
10,0.366666667,0.566666667,0.066666667
10,0.466666667,0.066666667,0.466666667
10,0.466666667,0.466666667,0.066666667
10,0.566666667,0.066666667,0.366666667
10,0.566666667,0.366666667,0.066666667
10,0.666666667,0.066666667,0.266666667
10,0.666666667,0.266666667,0.066666667
10,0.766666667,0.066666667,0.166666667
10,0.766666667,0.166666667,0.066666667
10,0.866666667,0.066666667,0.066666667
10,0.033333333,0.033333333,0.933333333
10,0.033333333,0.133333333,0.833333333
10,0.033333333,0.233333333,0.733333333
10,0.033333333,0.333333333,0.633333333
10,0.033333333,0.433333333,0.533333333
10,0.033333333,0.533333333,0.433333333
10,0.033333333,0.633333333,0.333333333
10,0.033333333,0.733333333,0.233333333
10,0.033333333,0.833333333,0.133333333
10,0.033333333,0.933333333,0.033333333
10,0.133333333,0.033333333,0.833333333
10,0.133333333,0.833333333,0.033333333
10,0.233333333,0.033333333,0.733333333
10,0.233333333,0.733333333,0.033333333
10,0.333333333,0.033333333,0.633333333
10,0.333333333,0.633333333,0.033333333
10,0.433333333,0.033333333,0.533333333
10,0.433333333,0.533333333,0.033333333
10,0.533333333,0.033333333,0.433333333
10,0.533333333,0.433333333,0.033333333
10,0.633333333,0.033333333,0.333333333
10,0.633333333,0.333333333,0.033333333
10,0.733333333,0.033333333,0.233333333
10,0.733333333,0.233333333,0.033333333
10,0.833333333,0.033333333,0.133333333
10,0.833333333,0.133333333,0.033333333
10,0.933333333,0.033333333,0.033333333
10,0,0,1
10,0,0.1,0.9
10,0,0.2,0.8
10,0,0.3,0.7
10,0,0.4,0.6
10,0,0.5,0.5
10,0,0.6,0.4
10,0,0.7,0.3
10,0,0.8,0.2
10,0,0.9,0.1
10,0,1,0
10,0.1,0,0.9
10,0.1,0.9,0
10,0.2,0,0.8
10,0.2,0.8,0
10,0.3,0,0.7
10,0.3,0.7,0
10,0.4,0,0.6
10,0.4,0.6,0
10,0.5,0,0.5
10,0.5,0.5,0
10,0.6,0,0.4
10,0.6,0.4,0
10,0.7,0,0.3
10,0.7,0.3,0
10,0.8,0,0.2
10,0.8,0.2,0
10,0.9,0,0.1
10,0.9,0.1,0
10,1,0,0
11,0.333333333,0.333333333,0.333333333
11,0.303030303,0.303030303,0.393939394
11,0.303030303,0.393939394,0.303030303
11,0.393939394,0.303030303,0.303030303
11,0.272727273,0.272727273,0.454545455
11,0.272727273,0.363636364,0.363636364
11,0.272727273,0.454545455,0.272727273
11,0.363636364,0.272727273,0.363636364
11,0.363636364,0.363636364,0.272727273
11,0.454545455,0.272727273,0.272727273
11,0.242424242,0.242424242,0.515151515
11,0.242424242,0.333333333,0.424242424
11,0.242424242,0.424242424,0.333333333
11,0.242424242,0.515151515,0.242424242
11,0.333333333,0.242424242,0.424242424
11,0.333333333,0.424242424,0.242424242
11,0.424242424,0.242424242,0.333333333
11,0.424242424,0.333333333,0.242424242
11,0.515151515,0.242424242,0.242424242
11,0.212121212,0.212121212,0.575757576
11,0.212121212,0.303030303,0.484848485
11,0.212121212,0.393939394,0.393939394
11,0.212121212,0.484848485,0.303030303
11,0.212121212,0.575757576,0.212121212
11,0.303030303,0.212121212,0.484848485
11,0.303030303,0.484848485,0.212121212
11,0.393939394,0.212121212,0.393939394
11,0.393939394,0.393939394,0.212121212
11,0.484848485,0.212121212,0.303030303
11,0.484848485,0.303030303,0.212121212
11,0.575757576,0.212121212,0.212121212
11,0.181818182,0.181818182,0.636363636
11,0.181818182,0.272727273,0.545454545
11,0.181818182,0.363636364,0.454545455
11,0.181818182,0.454545455,0.363636364
11,0.181818182,0.545454545,0.272727273
11,0.181818182,0.636363636,0.181818182
11,0.272727273,0.181818182,0.545454545
11,0.272727273,0.545454545,0.181818182
11,0.363636364,0.181818182,0.454545455
11,0.363636364,0.454545455,0.181818182
11,0.454545455,0.181818182,0.363636364
11,0.454545455,0.363636364,0.181818182
11,0.545454545,0.181818182,0.272727273
11,0.545454545,0.272727273,0.181818182
11,0.636363636,0.181818182,0.181818182
11,0.151515152,0.151515152,0.696969697
11,0.151515152,0.242424242,0.606060606
11,0.151515152,0.333333333,0.515151515
11,0.151515152,0.424242424,0.424242424
11,0.151515152,0.515151515,0.333333333
11,0.151515152,0.606060606,0.242424242
11,0.151515152,0.696969697,0.151515152
11,0.242424242,0.151515152,0.606060606
11,0.242424242,0.606060606,0.151515152
11,0.333333333,0.151515152,0.515151515
11,0.333333333,0.515151515,0.151515152
11,0.424242424,0.151515152,0.424242424
11,0.424242424,0.424242424,0.151515152
11,0.515151515,0.151515152,0.333333333
11,0.515151515,0.333333333,0.151515152
11,0.606060606,0.151515152,0.242424242
11,0.606060606,0.242424242,0.151515152
11,0.696969697,0.151515152,0.151515152
11,0.121212121,0.121212121,0.757575758
11,0.121212121,0.212121212,0.666666667
11,0.121212121,0.303030303,0.575757576
11,0.121212121,0.393939394,0.484848485
11,0.121212121,0.484848485,0.393939394
11,0.121212121,0.575757576,0.303030303
11,0.121212121,0.666666667,0.212121212
11,0.121212121,0.757575758,0.121212121
11,0.212121212,0.121212121,0.666666667
11,0.212121212,0.666666667,0.121212121
11,0.303030303,0.121212121,0.575757576
11,0.303030303,0.575757576,0.121212121
11,0.393939394,0.121212121,0.484848485
11,0.393939394,0.484848485,0.121212121
11,0.484848485,0.121212121,0.393939394
11,0.484848485,0.393939394,0.121212121
11,0.575757576,0.121212121,0.303030303
11,0.575757576,0.303030303,0.121212121
11,0.666666667,0.121212121,0.212121212
11,0.666666667,0.212121212,0.121212121
11,0.757575758,0.121212121,0.121212121
11,0.090909091,0.090909091,0.818181818
11,0.090909091,0.181818182,0.727272727
11,0.090909091,0.272727273,0.636363636
11,0.090909091,0.363636364,0.545454545
11,0.090909091,0.454545455,0.454545455
11,0.090909091,0.545454545,0.363636364
11,0.090909091,0.636363636,0.272727273
11,0.090909091,0.727272727,0.181818182
11,0.090909091,0.818181818,0.090909091
11,0.181818182,0.090909091,0.727272727
11,0.181818182,0.727272727,0.090909091
11,0.272727273,0.090909091,0.636363636
11,0.272727273,0.636363636,0.090909091
11,0.363636364,0.090909091,0.545454545
11,0.363636364,0.545454545,0.090909091
11,0.454545455,0.090909091,0.454545455
11,0.454545455,0.454545455,0.090909091
11,0.545454545,0.090909091,0.363636364
11,0.545454545,0.363636364,0.090909091
11,0.636363636,0.090909091,0.272727273
11,0.636363636,0.272727273,0.090909091
11,0.727272727,0.090909091,0.181818182
